Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
4.6100      -219590.291  -219599.935        9.644   217.5
4.6200      -219590.293  -219599.886        9.593   216.4
4.6300      -219590.301  -219599.994        9.693   218.6
4.6400      -219590.305  -219600.133        9.828   221.7
4.6500      -219590.296  -219599.854        9.558   215.6
4.6600      -219590.291  -219599.465        9.174   206.9
4.6700      -219590.297  -219599.943        9.646   217.6
4.6800      -219590.296  -219600.141        9.846   222.1
4.6900      -219590.291  -219599.690        9.399   212.0
4.7000      -219590.291  -219599.766        9.475   213.7
4.7100      -219590.293  -219599.781        9.488   214.0
4.7200      -219590.298  -219599.852        9.555   215.5
4.7300      -219590.297  -219600.125        9.828   221.7
4.7400      -219590.288  -219599.998        9.710   219.0
4.7500      -219590.289  -219600.396       10.107   228.0
4.7600      -219590.291  -219600.089        9.798   221.0
4.7700      -219590.295  -219600.102        9.807   221.2
4.7800      -219590.296  -219600.477       10.181   229.6
4.7900      -219590.296  -219600.250        9.954   224.5
4.8000      -219590.298  -219599.966        9.667   218.0
4.8100      -219590.292  -219599.424        9.132   206.0
4.8200      -219590.291  -219599.689        9.398   212.0
4.8300      -219590.296  -219599.745        9.448   213.1
4.8400      -219590.299  -219600.079        9.779   220.6
4.8500      -219590.294  -219599.718        9.424   212.6
4.8600      -219590.290  -219599.220        8.930   201.4
4.8700      -219590.293  -219599.244        8.952   201.9
4.8800      -219590.295  -219599.370        9.075   204.7
4.8900      -219590.294  -219599.737        9.442   213.0
4.9000      -219590.298  -219599.584        9.287   209.5
4.9100      -219590.298  -219599.632        9.334   210.5
4.9200      -219590.301  -219600.364       10.062   227.0
4.9300      -219590.301  -219600.276        9.976   225.0
4.9400      -219590.293  -219600.327       10.034   226.3
4.9500      -219590.291  -219599.988        9.696   218.7
4.9600      -219590.294  -219599.392        9.098   205.2
4.9700      -219590.295  -219599.194        8.899   200.7
4.9800      -219590.289  -219598.889        8.600   194.0
4.9900      -219590.289  -219599.774        9.485   213.9
5.0000      -219590.289  -219599.825        9.536   215.1
5.0100      -219590.290  -219599.102        8.812   198.8
5.0200      -219590.294  -219599.138        8.844   199.5
5.0300      -219590.292  -219598.796        8.504   191.8
5.0400      -219590.289  -219598.889        8.600   194.0
5.0500      -219590.288  -219598.934        8.645   195.0
5.0600      -219590.295  -219599.302        9.007   203.2
5.0700      -219590.297  -219599.017        8.720   196.7
5.0800      -219590.301  -219599.498        9.197   207.4
5.0900      -219590.295  -219599.213        8.918   201.2
5.1000      -219590.291  -219599.218        8.927   201.4
5.1100      -219590.297  -219599.808        9.511   214.5
5.1200      -219590.300  -219599.343        9.043   204.0
5.1300      -219590.299  -219599.137        8.838   199.3
5.1400      -219590.297  -219599.359        9.062   204.4
5.1500      -219590.297  -219599.484        9.187   207.2
5.1600      -219590.292  -219599.250        8.958   202.0
5.1700      -219590.290  -219599.512        9.222   208.0
5.1800      -219590.291  -219599.707        9.416   212.4
